id,name,rate
1,Alabama,35.96
2,Alaska,35.288
3,Arizona,36.156
4,Arkansas,37.832
5,California,37.152
6,Colorado,34.746
7,Connecticut,33.544
8,Delaware,31.996
9,District of Columbia,35.106
10,Florida,35.768
11,Georgia,35.544
12,Hawaii,32.422
13,Idaho,32.814
14,Illinois,34.342
15,Indiana,34.698
16,Iowa,31.234
17,Kansas,33.014
18,Kentucky,37.454
19,Louisiana,40.078
20,Maine,33.266
21,Maryland,32.932
22,Massachusetts,33.3
23,Michigan,33.598
24,Minnesota,29.656
25,Mississippi,38.968
26,Missouri,34.996
27,Montana,32.014
28,Nebraska,30.982
29,Nevada,38.386
30,New Hampshire,32.04
31,New Jersey,34.056
32,New Mexico,37.842
33,New York,34.332
34,North Carolina,33.66
35,North Dakota,29.528
36,Ohio,34.336
37,Oklahoma,38.516
38,Oregon,37.958
39,Pennsylvania,34.178
40,Rhode Island,33.742
41,South Carolina,33.336
42,South Dakota,28.654
43,Tennessee,35.678
44,Texas,37.248
45,Utah,34.384
46,Vermont,32.546
47,Virginia,33.152
48,Washington,35.792
49,West Virginia,37.89
50,Wisconsin,29.928
51,Wyoming,32.306
