Subgroup,middleDay,Values
Alabama,2020-04-29,30.3
Alabama,2020-05-09,30.6
Alabama,2020-05-16,25.2
Alabama,2020-05-23,28.8
Alabama,2020-05-30,37.5
Alabama,2020-06-06,36.9
Alabama,2020-06-13,38.1
Alabama,2020-06-20,38.0
Alabama,2020-06-27,35.9
Alabama,2020-07-04,39.6
Alabama,2020-07-11,40.1
Alabama,2020-07-18,43.3
Alabama,2020-08-25,37.2
Alabama,2020-09-08,38.1
Alabama,2020-09-22,37.2
Alabama,2020-10-06,33.6
Alabama,2020-10-20,36.0
Alabama,2020-11-03,44.8
Alabama,2020-11-17,43.8
Alabama,2020-12-01,38.5
Alabama,2020-12-15,44.0
Alabama,2021-01-12,42.0
Alabama,2021-01-26,43.4
Alabama,2021-02-09,40.1
Alabama,2021-02-23,36.5
Alabama,2021-03-09,38.1
Alabama,2021-03-23,34.5
Alabama,2021-04-20,35.5
Alabama,2021-05-04,33.3
Alabama,2021-05-18,28.0
Alabama,2021-06-01,31.8
Alabama,2021-06-15,29.5
Alabama,2021-06-29,35.9
Alabama,2021-07-27,35.3
Alabama,2021-08-10,29.9
Alabama,2021-08-24,38.5
Alabama,2021-09-07,34.2
Alabama,2021-09-21,32.4
Alabama,2021-10-05,34.1
Alabama,2021-12-07,32.1
Alabama,2022-01-04,33.9
Alabama,2022-02-01,33.8
Alabama,2022-03-08,33.5
Alabama,2022-04-05,28.6
Alabama,2022-05-03,31.0
Alabama,2022-06-07,37.7
Alabama,2022-07-05,37.4
Alabama,2022-08-02,42.3
Alabama,2022-09-20,42.7
Alabama,2022-10-11,34.5
Alaska,2020-04-29,31.5
Alaska,2020-05-09,35.7
Alaska,2020-05-16,32.7
Alaska,2020-05-23,36.4
Alaska,2020-05-30,31.6
Alaska,2020-06-06,35.2
Alaska,2020-06-13,36.5
Alaska,2020-06-20,37.1
Alaska,2020-06-27,35.3
Alaska,2020-07-04,32.9
Alaska,2020-07-11,39.6
Alaska,2020-07-18,38.8
Alaska,2020-08-25,34.8
Alaska,2020-09-08,33.6
Alaska,2020-09-22,35.5
Alaska,2020-10-06,37.4
Alaska,2020-10-20,38.5
Alaska,2020-11-03,38.2
Alaska,2020-11-17,44.6
Alaska,2020-12-01,42.6
Alaska,2020-12-15,44.1
Alaska,2021-01-12,41.5
Alaska,2021-01-26,43.1
Alaska,2021-02-09,41.3
Alaska,2021-02-23,35.6
Alaska,2021-03-09,35.6
Alaska,2021-03-23,37.8
Alaska,2021-04-20,31.8
Alaska,2021-05-04,33.8
Alaska,2021-05-18,29.3
Alaska,2021-06-01,26.9
Alaska,2021-06-15,31.8
